CLAVE_ENTIDAD,ENTIDAD,CLAVE_MUNICIPIO,MUNICIPIO,CLUES,NOMBRE_CLUES,MES,ANIO,ADL02,ADL03,ADL05,ADL06,ADL08,ADL09,ADL11,ADL12,ADL14,ADL15,ADL17,ADL18,ADM02,ADM03,ADM05,ADM06,ADM08,ADM09,ADM11,ADM12,ADM14,ADM15,ADM17,ADM18,ADM19,ADM20,ADM21,ADM22,ADM23,AEC02,AEC03,AEC05,AEC06,AEC08,AEC09,AEC11,AEC12,AEC14,AEC15,AEC17,AEC18,AHA02,AHA03,AHA05,AHA06,AHA08,AHA09,AHA11,AHA12,AHA14,AHA15,AHA17,AHA18,AOB02,AOB03,AOB05,AOB06,AOB08,AOB09,AOB11,AOB12,AOB14,AOB15,AOB17,AOB18,FRS01,FRS02,FRS03,FRS04,HBA01,HBA02,HBA03,PDM02,PDM03,PMA01,PMA02,RUN01
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,11,2023,NULL,NULL,NULL,NULL,32,21,7,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,31,13,19,15,7,5,8,24,11,4,12,16,NULL,NULL,NULL,NULL,27,17,6,5,6,2,1,4,NULL,NULL,NULL,NULL,24,19,5,9,16,7,4,6,NULL,NULL,NULL,NULL,23,11,5,3,12,8,2,2,9,2,1,6,50,6,1,6,1,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000034,HOSP. GRAL. RENACIMIENTO,12,2023,NULL,NULL,NULL,NULL,28,18,4,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,28,9,20,15,5,2,9,22,6,2,5,11,NULL,NULL,NULL,NULL,21,15,3,5,7,2,NULL,4,NULL,NULL,NULL,NULL,18,17,2,10,16,7,2,7,NULL,NULL,NULL,NULL,17,10,4,3,10,7,1,2,5,NULL,NULL,1,23,3,NULL,1,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,1,2023,NULL,NULL,NULL,NULL,12,6,1,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,17,5,3,3,2,NULL,NULL,1,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,4,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,7,3,3,6,4,1,3,1,NULL,NULL,NULL,10,3,3,NULL,2,1,1,NULL,3,2,NULL,NULL,1,1,1,4,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,2,2023,1,NULL,NULL,1,12,5,1,4,NULL,NULL,NULL,NULL,2,1,1,1,18,6,2,4,2,2,1,2,6,1,NULL,NULL,1,1,NULL,NULL,1,11,4,1,3,2,1,1,1,2,NULL,NULL,NULL,10,6,2,5,8,3,1,3,NULL,NULL,NULL,1,10,3,1,1,1,1,NULL,NULL,3,3,NULL,1,2,1,1,14,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,3,2023,1,NULL,NULL,NULL,12,5,NULL,4,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,19,8,1,5,6,4,NULL,3,7,5,NULL,1,4,1,NULL,NULL,NULL,12,4,NULL,4,1,1,NULL,1,1,NULL,NULL,NULL,12,5,1,5,6,5,NULL,3,1,NULL,NULL,NULL,12,3,1,2,1,2,NULL,NULL,4,3,NULL,2,4,2,2,16,1,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,4,2023,NULL,NULL,NULL,NULL,12,5,NULL,4,NULL,NULL,NULL,1,NULL,NULL,NULL,1,19,8,1,6,6,3,NULL,2,3,1,NULL,1,NULL,NULL,NULL,NULL,NULL,12,4,NULL,4,1,1,NULL,1,NULL,NULL,NULL,NULL,12,5,1,5,9,5,NULL,4,NULL,NULL,NULL,NULL,12,3,1,2,1,1,NULL,NULL,3,3,NULL,2,1,NULL,NULL,8,NULL,3,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,5,2023,NULL,NULL,NULL,NULL,13,6,NULL,4,1,NULL,NULL,1,NULL,NULL,NULL,NULL,19,8,1,6,8,3,NULL,1,6,4,NULL,2,2,NULL,NULL,NULL,NULL,12,4,NULL,4,3,1,NULL,1,NULL,NULL,NULL,NULL,12,6,1,6,8,6,NULL,5,NULL,NULL,NULL,NULL,12,3,1,2,2,1,NULL,NULL,2,3,NULL,NULL,4,2,2,4,NULL,4,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,6,2023,NULL,NULL,NULL,NULL,14,6,NULL,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,9,2,7,7,2,1,3,7,5,NULL,3,1,NULL,NULL,NULL,NULL,13,5,NULL,4,5,1,NULL,2,NULL,NULL,NULL,NULL,12,8,2,5,7,7,2,4,NULL,NULL,NULL,NULL,12,4,1,2,3,2,NULL,1,NULL,3,NULL,1,3,1,NULL,2,1,1,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,7,2023,NULL,NULL,NULL,NULL,14,6,1,3,NULL,NULL,NULL,NULL,1,1,NULL,1,22,9,3,7,8,1,1,3,5,3,1,1,2,NULL,NULL,NULL,NULL,14,5,NULL,3,4,NULL,NULL,2,NULL,1,1,NULL,13,10,3,4,9,8,3,4,NULL,NULL,NULL,NULL,13,4,1,2,2,2,NULL,NULL,2,3,1,1,4,2,NULL,14,NULL,NULL,NULL,NULL
12,GUERRERO,1,ACAPULCO DE JUÁREZ,GRSSA000046,R-01 COL. PEDREGOSO,8,2023,NULL,NULL,NULL,NULL,14,6,1,3,NULL,NULL,NULL,NULL,2,1,1,1,23,10,4,9,9,2,NULL,3,5,6,1,2,4,NULL,NULL,NULL,NULL,13,5,NULL,3,5,1,NULL,1,3,2,NULL,NULL,15,12,3,4,10,10,3,2,NULL,NULL,NULL,NULL,12,4,1,2,3,2,NULL,NULL,2,3,NULL,1,6,2,1,12,1,NULL,NULL,NULL
